"name";"short_name";"address";"signature";"status";"type";"electoral_plenipotentiary";"financial_plenipotentiary";"range";"teryt"
"BEZPARTYJNY KOMITET WYBORCZY WYBORCÓW ""WSPÓLNA SPRAWA""";"BEZPARTYJNY KWW ""WSPÓLNA SPRAWA""";"ul.Rynek 12, 96-100, Skierniewice";"DSK-7503-11/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Barbara Zofia Kamińska";"Maria Ewa Mikulska";"woj. łódzkie";""
"BYTOMSKI KOMITET WYBORCZY WYBORCÓW NADZIEJA";"BKWW NADZIEJA";"ul.Nickla 30/6, 41-908, Bytom";"DKT-7503-67/10";"Zarejestrowany";"Komitet wyborczy wyborców";"Krzysztof Józef Kopacz";"Wojciech Witold Błach";"woj. śląskie";""
"CZAS NA ZMIANY W TWOJEJ GMINIE KOMITET WYBORCZY WYBORCÓW";"CZAS NA ZMIANY W TWOJEJ GMINIE KWW";"Nicponia 108, 83-140, Nicponia, gm. Gniew";"DGD-75031-248/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Sylwester Dominik Frost";"Sylwester Dominik Frost";"gm. Gniew";"221402"
"DEMOKRATYCZNY KOMITET WYBORCZY WYBORCÓW GMINY BIELSK PODLASKI";"KWW D GM. B.P.";"Haćki 33, 17-100 Bielsk Podlaski";"DBL-7503-193/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Jan Mordań";"Jan Mordań";"gm. Bielsk Podlaski";"200303"
"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";"ul. Mokotowska 29A, 00-560 Warszawa";"ZPOW-7501-1/10";"Zarejestrowany";"Koalicyjny komitet wyborczy partii politycznych";"Arkadiusz Kasznia";"Kcenia Barbara Parzonko";"Polska";""
"KOALICYJNY KOMITET WYBORCZY LISTA SIERAKOWSKIEJ - LEWICA";"KKW LISTA SIERAKOWSKIEJ - LEWICA";"ul. Mokotowska 29A, 00-560 Warszawa";"ZPOW-7501-3/10";"Zarejestrowany";"Koalicyjny komitet wyborczy partii politycznych";"Krzysztof Małecki";"Paweł Przemysław Kotuła";"Polska";""
"KOALICYJNY KOMITET WYBORCZY PRAWICA RZECZYPOSPOLITEJ - UPR";"KKW PRAWICA RZECZYPOSPOLITEJ - UPR";"ul. Wspólna 61, 00-687 Warszawa";"ZPOW-7501-2/10";"Zarejestrowany";"Koalicyjny komitet wyborczy partii politycznych";"Marcin Robert Fersz";"Piotr Kazimierz Soporowski";"Polska";""
"KOBIECY KOMITET WYBORCZY WYBORCÓW";"KOBIECY KOMITET WYBORCZY WYBORCÓW";"Kuriany 76, 15-589 Zabłudów";"DBL-7503-40/10";"Zarejestrowany";"Komitet wyborczy wyborców w gminie do 20 tys. mieszkańców";"Emilian, Adam Łuczak";"Emilian, Adam Łuczak";"gm. Zabłudów";"200214"
"KOMITET WYBORCZY ADAM FUDALI BLOK SAMORZĄDOWY RYBNIK";"KW ADAM FUDALI BLOK SAMORZĄDOWY RYBNIK";"ul. Św. Jana 3, 44-200, Rybnik";"DKT-7502-18/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Kazimierz Florian Salamon";"Urszula Maria Madaj";"woj. śląskie";""
"KOMITET WYBORCZY AKCJA WYBORCZA NA RZECZ MIASTA I REGIONU - FORUM SAMORZĄDOWE";"KW AKCJA WYBORCZA NA RZECZ MIASTA";"Tomaszów Lubelski, ul. Lwowska 64, 22-600 Tomaszów Lubelski";"DZM-7502-5/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Maria Tobiasz";"Tomasz Nastałek";"woj. lubelskie";""
"KOMITET WYBORCZY AKTYWNI DLA ŚWIĘTOCHŁOWIC";"KW AKTYWNI DLA ŚWIĘTOCHŁOWIC";"ul. Dworcowa 7a, 41-600, Świętochłowice";"DKT-7502-1/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Jerzy Jan Rusin";"Anna Maria Marciniak";"woj. śląskie";""
"KOMITET WYBORCZY BIESZCZADZKIEGO STOWARZYSZENIA SAMORZĄDOWEGO W USTRZYKACH DOLNYCH";"KW BIESZCZADZKIEGO STOW. SAMORZĄDOWEGO";"ul. Gombrowicza 23/15, 38-700 Ustrzyki Dolne";"DKO-7502-3/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Antoni Wacław Szewczyk";"Iwona Agata Woch";"woj. podkarpackie";""
"KOMITET WYBORCZY BIŁGORAJSKIE POROZUMIENIE SAMORZĄDOWE";"KW BIŁGORAJSKIE POROZUMIENIE SAMORZĄDOWE";"Aleksandrów 590, 23-408 Aleksandrów";"DZM-7502-3/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Łukasz Borowiec";"Anna Iwona Borowiec";"woj. lubelskie";""
"KOMITET WYBORCZY BLOK PRZYJACIÓŁ DĄBROWY GÓRNICZEJ";"KW BLOK PRZYJACIÓŁ DĄBROWY GÓRNICZEJ";"ul.Kasprzaka 256, 41-303, Dąbrowa Górnicza";"DKT-7502-12/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Krzysztof Arkadiusz Bobrowski";"Magdalena Maria Wiśniewska";"woj. śląskie";""
"KOMITET WYBORCZY BYTOMSKI KOMITET OBYWATELSKI";"KW BYTOMSKI KOMITET OBYWATELSKI";"ul. Kościuszki 75/4, 41-936, Bytom";"DKT-7502-23/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Zenon Pigoń";"Zygmunt Tadeusz Konopka";"woj. śląskie";""
"KOMITET WYBORCZY ""BYTOM PRZYJAZNE MIASTO""";"KW ""BYTOM PRZYJAZNE MIASTO""";"ul. Moniuszki 26A/001, 41-902, Bytom";"DKT-7502-21/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Joanna Renata Delong";"Tomasz Jan Ćwiek";"woj. śląskie";""
"KOMITET WYBORCZY CECH RZEMIOSŁ i PRZEDSIĘBIORCZOŚCI";"KW CECH RZEMIOSŁ i PRZEDSIĘBIORCZOŚCI";"ul. Kościelna 16, 22-200 Włodawa";"DCH-7502-2/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Józef Kędzierawski";"Regina Osypowicz";"woj. lubelskie";""
"KOMITET WYBORCZY CENTRUM ZRÓWNOWAŻONEGO ROZWOJU";"KW KOP - ALTERNATYWA";"ul. Legionów 2, 90-401 Łódź";"DŁD-7502-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Teresa Maria Adamska";"Ryszard Marian Olesiński";"woj. łódzkie";""
"KOMITET WYBORCZY CHRZEŚCIJAŃSKA INICJATYWA SPOŁECZNA";"KW CHRZEŚCIJAŃSKA INICJATYWA SPOŁECZNA";"50-523 Wrocław, ul. Tomaszowska 2";"ZPOW-7500-19/10";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Małgorzata Gabriela Ryfa";"Cyprian Tomasz Kubacki";"Polska";""
"KOMITET WYBORCZY ""CZERSKIE FORUM SAMORZĄDOWE""";"KW CZERSKIE FORUM SAMORZĄDOWE";"ul. Ostrowskiego 16, 89-650 Czersk";"DSL-7502-29/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Krzysztof Ryszard Sękielewski";"Krzysztof Przytarski";"woj. pomorskie";""
"KOMITET WYBORCZY CZŁUCHOWSKIE FORUM SAMORZĄDOWE";"KW CZŁUCHOWSKIE FORUM SAMORZĄDOWE";"ul. Traugutta 2, 77-300 Człuchów";"DSL-7502-105/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Antoni Neckar";"Tadeusz Grubiński";"woj. pomorskie";""
"KOMITET WYBORCZY DLA OLEŚNICY";"KW DLA OLEŚNICY";"ul. Lotnicza 4, 56-400 Oleśnica";"DWR-7502-5/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Michał Piotr Skrzypek";"Damian Siedlecki";"woj. dolnośląskie";""
"KOMITET WYBORCZY ""DOBRY SAMORZĄD MIAST I GMIN OLSZTYŃSKICH""";"KW DOBRY SAMORZĄD OLSZTYŃSKI";"Szałstry 28B, 11-042, Jonkowo";"DOL-7502-4/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Arkadiusz Paturej";"Magdalena Stasiulewicz";"woj. warmińsko-mazurskie";""
"KOMITET WYBORCZY EKOPARK";"KW EKOPARK";"Głodówko 5A, 84-207, Koleczkowo, Łężyce, gm. Wejherowo";"DGD-7502-8/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Anna Katarzyna Sikorska";"Anna Maria Demczuk";"woj. pomorskie";""
"KOMITET WYBORCZY FEDERACJA KOMBATANCKICH ZWIĄZKÓW DZIECI OFIAR WOJNY RZECZYPOSPOLITEJ POLSKIEJ";"KW FEDERACJA KOMBATANTÓW - DZIECI WOJNY";"ul. Piotrkowska 38 m. 54, 90-265 Łódź";"DŁD-7502-8/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Grażyna Feliksa Warpechowska";"Wiesław Władysław Piotrusiak";"woj. łódzkie";""
"KOMITET WYBORCZY FORUM DEMOKRATYCZNE";"KW FORUM DEMOKRATYCZNE";"ul. Poznańska 200, 63-800 Gostyń";"DLS-7502-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Mikołaj Jackowiak";"Władysław Terech";"woj. wielkopolskie";""
"KOMITET WYBORCZY ""FORUM MIESZKAŃCÓW""";"KW ""FORUM MIESZKAŃCÓW""";"ul. Wierzbowa 4, 42-300 Myszków";"DCZ-7502-1/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Piotr Ryszard Kos";"Agnieszka Karolina Nowak";"woj. śląskie";""
"KOMITET WYBORCZY FORUM ROZWOJU ZIEMI NAMYSŁOWSKIEJ";"KW FRZN";"ul. Pastewna 1A, 46-100 Namysłów";"DOP1-7502-10/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Adam Franciszek Maciąg";"Maria Teodorczyk";"woj. opolskie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWE";"KOMITET WYBORCZY FORUM SAMORZĄDOWE";"Osiedle Słoneczne 80, 66-200 Świebodzin";"DZG-7502-4/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Krzysztof Tomalak";"Jerzy Pucek";"woj. lubuskie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWE GMIN";"KW FORUM SAMORZĄDOWE GMIN";"ul. Wieczorka 50, Laski 05-080";"DWW-7502-15/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Karol Jacek Białowolski";"Wiesław Warzycha";"woj. mazowieckie";""
"KOMITET WYBORCZY FORUM SAMORZĄDOWE MIAST I GMIN POWIATU KROŚNIEŃSKIEGO";"KW FORUM POWIATU KROŚNIEŃSKIEGO";"ul. Emilii Plater 5 , 66-600 Krosno Odrzańskie";"DZG-7502-7/10";"Zarejestrowany";"Komitet wyborczy organizacji";"Daniel Mateusz Sawicki";"Alicja Zdanowicz";"woj. lubuskie";""
