"Teryt";"Province";"Commune code";"Commune";"Commune type";"Precinct No.";"Address";"Precinct type";"Location accessible for the handicapped";"Boundaries"
"160000";"opolskie";"166101";"Opole";"urban commune";"1";"Remiza OSP, ul. Wrocławska 190";"General";"No";"Miasto OPOLE - ulice: Bierkowicka, Stanisława Bronicza, Dziewanny, Etnografów, Profesora Stefana Golachowskiego, Lajkonika, Pisankowa, Sobótki, Urodzaju, Wielkanocna, Wrocławska numery parzyste od 172 do końca i numery nieparzyste od 197 do końca, Żerkowicka"
"160000";"opolskie";"166101";"Opole";"urban commune";"2";"Publiczna Szkoła Podstawowa Nr 9, ul. Cmentarna 7";"General";"No";"Miasto OPOLE - ulice: Profesora Stefana Banacha, Ceglana, Cicha, Cmentarna, Daleka, Kazimierza Deyny, Dobra, Księdza Bolesława Domańskiego numery nieparzyste od 1 do 77 i numery  parzyste od 2 do 80 , Kazimierza Górskiego, Marka Grechuty, Anny Jantar, Jasna, Profesora Józefa Kokota, Profesora Stanisława Kolbuszewskiego, Władysława Komara, Profesora Tadeusza Kotarbińskiego, Profesora Leszka Kuberskiego, Rondo płk.Ryszarda Kuklińskiego, Jerzego Kukuczki, Profesora Stanisława Kulczyńskiego, Franciszka Kurpierza, Kurpiowska, Ludowa, Marzanny, Stefanii Mazurek, Miła, Nizinna, Agnieszki Osieckiej, Partyzancka, Profesora Kazimierza Piwarskiego, Powstańców Warszawskich, Północna, Przylesie, Profesora Eugeniusza Romera, Wandy Rutkiewicz, Słowiańska, Spokojna, 10 Sudeckiej Dywizji Zmechanizowanej, Profesora Witolda Taszyckiego, Profesora Władysława Tatarkiewicza, Wrocławska numery parzyste od 64 do 170i numery nieparzyste od 95 do 195, Wspólna, Jana Wyglendy, Zamiejska, Zbożowa"
"160000";"opolskie";"166101";"Opole";"urban commune";"3";"Publiczna Szkoła Podstawowa Nr 14, ul. Szymona Koszyka 21 (wejście od strony sali gimnastycznej)";"General";"No";"Miasto OPOLE - ulica: Szymona Koszyka numery nieparzyste od 1 do końca"
"160000";"opolskie";"166101";"Opole";"urban commune";"4";"Publiczna Szkoła Podstawowa Nr 14, ul. Szymona Koszyka 21 (wejście główne)";"General";"Yes";"Miasto OPOLE - ulica: Szymona Koszyka numery parzyste od 2 do końca"
"160000";"opolskie";"166101";"Opole";"urban commune";"5";"Zespół Szkół Budowlanych, ul. Niemodlińska 40";"General";"No";"Miasto OPOLE - ulice: Jana Chełmońskiego, Daniela Chodowieckiego, Fryderyka Chopina, Artura Grottgera, Józefa Hallera numery parzyste, Kanałowa, Juliusza Kossaka, Krapkowicka numery parzyste od 2 do 10, Stanisława Moniuszki, Niemodlińska numery parzyste od 8 do 60 i 60a oraz numery nieparzyste od 9 do 57, Feliksa Nowowiejskiego, Grzegorza Piramowicza, Plac Ludomira Różyckiego, Stefana Stoińskiego, Jana Styki, Karola Szymanowskiego, Leona Wyczółkowskiego"
"160000";"opolskie";"166101";"Opole";"urban commune";"6";"Publiczna Szkoła Podstawowa Nr 8, ul. Księdza Norberta Bonczyka 13";"General";"No";"Miasto OPOLE - ulice: Księdza Norberta Bonczyka, Józefa Lompy, Nysy Łużyckiej numery parzyste od 8 do 10, Księdza Piotra Ściegiennego, Wrocławska numery parzyste od 6 do 62 i numery nieparzyste od 1 do 93, Zamknięta"
"160000";"opolskie";"166101";"Opole";"urban commune";"7";"Publiczne Liceum Ogólnokształcące Nr I, ul. Licealna 3";"General";"No";"Miasto OPOLE - ulice: Plac Jana Kazimierza, Licealna, Lubiniecka, Piotra Niedurnego, Niemodlińska numery parzyste od 2 do 6 i numery nieparzyste od 1 do 7, Stefana Okrzei, Stanisława Spychalskiego numery parzyste od 2 do końca i numery nieparzyste od 15 do końca, Wandy"
"160000";"opolskie";"166101";"Opole";"urban commune";"8";"Miejska Biblioteka Publiczna, Plac Józefa Piłsudskiego 5-6";"General";"No";"Miasto OPOLE - ulice: Łąkowa, Plac Józefa Piłsudskiego, Stanisława Spychalskiego numery nieparzyste od 1 do 13, 13A i 15A, Wrocławska numery od 2 do 2C"
"160000";"opolskie";"166101";"Opole";"urban commune";"9";"Zespół Szkół Specjalnych, ul. Książąt Opolskich 21";"General";"Yes";"Miasto OPOLE - ulice: Księdza Stefana Baldego, Kardynała Bolesława Kominka, Katedralna numery parzyste, Plac Katedralny, Kolegiacka, Marii Konopnickiej, Plac Konstytucji 3 Maja, Książąt Opolskich numery parzyste od 32 do końca i numery nieparzyste od 19 do końca, Jana Łangowskiego numery nieparzyste, Nadbrzeżna, Nysy Łużyckiej numery parzyste od 12 do 30 i numery nieparzyste od 1 do 7, Haliny Poświatowskiej, Rybacka, Sądowa"
"160000";"opolskie";"166101";"Opole";"urban commune";"10";"Oddział Przedszkola Publicznego Nr 8, ul. Gminna 1";"General";"No";"Miasto OPOLE - ulice: Czarnowąska, Domowa, Gawędy, Gminna, Gościnna, Grodzka, Kaletnicza, Krzanowicka, Mikołaja, Osadnicza, Przyjazna, Jana Sobieskiego, Sołtysów,  Śluza - Wróblin, Usługowa, Wiankowa, Wróblińska."
