"Electoral institution";"Teritorial code";"Constituency no";"Mandates quantity";"Committees quantity";"Candidates quantity";"Electorals quantity";"Constituency boundaries"
"Sejmik Województwa Podlaskiego";"200000";"1";"7";"8";"87";"228443";"miasto Białystok"
"Sejmik Województwa Podlaskiego";"200000";"2";"5";"7";"66";"148210";"powiat augustowski, powiat sejneński, powiat suwalski, miasto Suwałki"
"Sejmik Województwa Podlaskiego";"200000";"3";"5";"8";"67";"163117";"powiat grajewski, powiat kolneński, powiat łomżyński, miasto Łomża"
"Sejmik Województwa Podlaskiego";"200000";"4";"5";"7";"57";"173984";"powiat bielski, powiat siemiatycki, powiat wysokomazowiecki, powiat zambrowski"
"Sejmik Województwa Podlaskiego";"200000";"5";"8";"7";"82";"248425";"powiat białostocki, powiat hajnowski, powiat moniecki, powiat sokólski"
"Rada Powiatu Augustowskiego";"200100";"1";"9";"7";"87";"24397";"obejmujący gminę miasta Augustów"
"Rada Powiatu Augustowskiego";"200100";"2";"3";"8";"38";"6827";"obejmujący gminę Lipsk i Płaska"
"Rada Powiatu Augustowskiego";"200100";"3";"3";"5";"26";"7706";"obejmujący gminę Augustów i Nowinka"
"Rada Powiatu Augustowskiego";"200100";"4";"4";"7";"40";"9041";"obejmujący gminę Bargłów Kościelny, Sztabin"
"Rada Powiatu Białostockiego";"200200";"1";"5";"4";"33";"21635";"gminy: Gródek, Michałowo, Supraśl"
"Rada Powiatu Białostockiego";"200200";"2";"4";"4";"26";"19990";"gminy: Zabłudów, Juchnowiec Kościelny, Suraż"
"Rada Powiatu Białostockiego";"200200";"3";"5";"4";"33";"20230";"gminy: Czarna Białostocka, Wasilków"
"Rada Powiatu Białostockiego";"200200";"4";"3";"4";"21";"15251";"gminy: Turośń Kościelna, Choroszcz"
"Rada Powiatu Białostockiego";"200200";"5";"5";"4";"33";"21572";"gminy: Łapy, Poświętne"
"Rada Powiatu Białostockiego";"200200";"6";"3";"4";"22";"14406";"gminy: Tykocin, Dobrzyniewo Duże, Zawady"
"Rada Powiatu w Bielsku Podlaskim";"200300";"1";"8";"5";"66";"22124";"m. Bielsk Podlaski"
"Rada Powiatu w Bielsku Podlaskim";"200300";"2";"7";"6";"63";"16912";"gm. Brańsk, m. Brańsk, gm. Rudka, gm. Orla, gm. Boćki"
"Rada Powiatu w Bielsku Podlaskim";"200300";"3";"4";"5";"35";"10323";"gm. Wyszki, gm. Bielsk Podlaski , "
"Rada Powiatu Grajewskiego";"200400";"1";"7";"4";"54";"18107";"miasto Grajewo"
"Rada Powiatu Grajewskiego";"200400";"2";"4";"3";"24";"9187";"gminy: Grajewo, Rajgród"
"Rada Powiatu Grajewskiego";"200400";"3";"6";"4";"33";"12640";"gminy: Radziłów, Wąsosz, Szczuczyn"
"Rada Powiatu Hajnowskiego";"200500";"1";"8";"4";"60";"18764";"Miasto Hajnówka"
"Rada Powiatu Hajnowskiego";"200500";"2";"3";"4";"20";"7759";"gminy: Białowieża, Czyże, Hajnówka"
"Rada Powiatu Hajnowskiego";"200500";"3";"3";"2";"12";"7247";"gminy: Czeremcha, Kleszczele, Dubicze Cerkiewne"
"Rada Powiatu Hajnowskiego";"200500";"4";"3";"4";"19";"6956";"gminy: Narew, Narewka"
"Rada Powiatu Kolneńskiego";"200600";"1";"5";"7";"69";"8820";"miasto Kolno"
"Rada Powiatu Kolneńskiego";"200600";"2";"4";"6";"43";"8216";"gminy: Grabowo, Stawiski"
"Rada Powiatu Kolneńskiego";"200600";"3";"4";"7";"56";"6881";"gmina Kolno"
"Rada Powiatu Kolneńskiego";"200600";"4";"4";"7";"53";"8017";"gminy: Mały Płock, Turośl"
"Rada Powiatu Łomżyńskiego";"200700";"1";"3";"5";"26";"6393";"Jedwabne, Przytuły"
"Rada Powiatu Łomżyńskiego";"200700";"2";"3";"5";"27";"8209";"gmina Łomża"
"Rada Powiatu Łomżyńskiego";"200700";"3";"3";"5";"25";"7878";"Miastkowo, Śniadowo"
"Rada Powiatu Łomżyńskiego";"200700";"4";"3";"6";"30";"6776";"Nowogród, Zbójna"
"Rada Powiatu Łomżyńskiego";"200700";"5";"5";"5";"39";"11812";"Piątnica, Wizna"
"Rada Powiatu w Mońkach";"200800";"1";"4";"4";"31";"8728";"Miasto i Gmina Goniądz, Gmina Jaświły"
"Rada Powiatu w Mońkach";"200800";"2";"3";"5";"25";"6528";"Miasto i Gmina Knyszyn, Gmina Jasionówka"
"Rada Powiatu w Mońkach";"200800";"3";"4";"4";"32";"7136";"1. Gmina Krypno, 2. Gmina Trzcianne"
"Rada Powiatu w Mońkach";"200800";"4";"6";"4";"48";"12806";"Miasto i Gmina Mońki"
"Rada Powiatu Sejneńskiego";"200900";"1";"4";"6";"39";"4673";" miasto Sejny"
"Rada Powiatu Sejneńskiego";"200900";"2";"5";"6";"48";"5807";"gmina Sejny i gmina Giby"
"Rada Powiatu Sejneńskiego";"200900";"3";"3";"6";"31";"3190";"gmina Krasnopol"
"Rada Powiatu Sejneńskiego";"200900";"4";"3";"3";"12";"3591";"gmina Puńsk"
"Rada Powiatu Siemiatyckiego";"201000";"1";"6";"5";"50";"14405";"Okręg obejmuje teren miasta i gminy Drohiczyn, gminy Perlejewo, gminy Grodzisk, gminy Dziadkowice"
"Rada Powiatu Siemiatyckiego";"201000";"2";"5";"5";"45";"12491";"Okręg obejmuje teren miasta Siemiatycze."
"Rada Powiatu Siemiatyckiego";"201000";"3";"6";"5";"47";"13235";"Okręg obejmuje teren gminy Siemiatycze, gminy Nurzec Stacja, gminy Milejczyce, gminy Mielnik."
"Rada Powiatu Sokólskiego";"201100";"1";"3";"4";"21";"10436";"Gmina: Dąbrowa Białostocka"
"Rada Powiatu Sokólskiego";"201100";"2";"4";"4";"20";"12423";"Gminy: Janów, Korycin, Suchowola"
"Rada Powiatu Sokólskiego";"201100";"3";"5";"5";"30";"14897";"Gminy: Krynki, Kuźnica, Nowy Dwór, Sidra, Szudziałowo"
"Rada Powiatu Sokólskiego";"201100";"4";"7";"5";"57";"21661";"Gmina: Sokółka"
"Rada Powiatu w Suwałkach";"201200";"1";"5";"5";"38";"10426";"gminy: Raczki, Suwałki"
"Rada Powiatu w Suwałkach";"201200";"2";"3";"5";"24";"6170";"gminy: Bakałarzewo, Filipów"
"Rada Powiatu w Suwałkach";"201200";"3";"3";"5";"25";"5679";"gminy: Jeleniewo, Szypliszki"
"Rada Powiatu w Suwałkach";"201200";"4";"4";"5";"30";"6448";"gminy: Przerośl, Rutka Tartak, Wiżajny"
"Rada Powiatu Wysokomazowieckiego";"201300";"1";"3";"4";"20";"7718";"miasto Wysokie Mazowieckie"
"Rada Powiatu Wysokomazowieckiego";"201300";"2";"3";"4";"21";"7642";" Miasto i Gmina Ciechanowiec"
"Rada Powiatu Wysokomazowieckiego";"201300";"3";"3";"4";"20";"9096";"Czyżew Osada, Klukowo"
"Rada Powiatu Wysokomazowieckiego";"201300";"4";"4";"4";"30";"9238";"Szepietowo, Nowe Piekuty"
"Rada Powiatu Wysokomazowieckiego";"201300";"5";"3";"4";"19";"7742";"Sokoły, Kobylin Borzymy"
"Rada Powiatu Wysokomazowieckiego";"201300";"6";"3";"4";"20";"6958";"Kulesze Kościelne, Gmina Wysokie Mazowieckie"
"Rada Powiatu Zambrowskiego";"201400";"1";"9";"5";"80";"18476";"miasto Zambrów"
"Rada Powiatu Zambrowskiego";"201400";"2";"5";"5";"45";"10868";"gmina Zambrów, gmina Szumowo"
"Rada Powiatu Zambrowskiego";"201400";"3";"3";"3";"16";"6756";"gmina Rutki, Gmina Kołaki Kościelne"
"Rada Miejska Białegostoku";"206101";"1";"5";"5";"45";"40117";"Osiedla:, Nr   5 – Piaski, Nr   6 – Przydworcowe, Nr 16 – Bema, Nr 17 – Kawaleryjskie, Nr 18 – Nowe Miasto, "
