"Ballot";"Commune";"Level";"TERYT";"Office";"Committee";"Signature";"Type";"Position";"Family name";"Names";"Sex";"Age";"Education";"Party";"Endorsement";"Teryt of resident's place";"Commune of resident's place";"Resident's place";"Statement";"Elected";"Votes quantity";"% of votes"
"1";"Kazimierza Wielka";"gmina do 20 tyś.";"260303";"Mayor";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"4";"Miszczyk";"Jarosław";"M";"50";"Wyższe";"członek Prawa i Sprawiedliwości";;"260303";"Kazimierza Wielka";"Kazimierza Wielka";;"N";"458";"6,50"
"1";"Opatowiec";"gmina do 20 tyś.";"260304";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"2";"Kowalczyk";"Sławomir Piotr";"M";"37";"wyższe rolnicze";;;"260304";"Opatowiec";"Rogów";;"T";"1401";"72,82"
"1";"Gnojno";"gmina do 20 tyś.";"260102";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"2";"Dziewit";"Marcin";"M";"34";"wyższe";"członek Prawa i Sprawiedliwości";;"260102";"Gnojno";"Raczyce";;"N";"373";"14,88"
"1";"Secemin";"gmina do 20 tyś.";"261305";"Reeve";"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA SECEMIN";"DKC1-7503-210/10";"wyborczy w gminie do 20 tys.";"1";"Bujak";"Józef";"M";"60";"Średnie";;;"261305";"Secemin";"Wola Czaryska";;"2";"737";"29,49"
"1";"Secemin";"gmina do 20 tyś.";"261305";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""WSPÓLNA GMINA SECEMIN""";"DKC1-7503-80/10";"wyborczy w gminie do 20 tys.";"4";"Marek";"Krzysztof Piotr";"M";"56";"Wyższe";;;"261305";"Secemin";"Kuczków";;"N";"241";"9,64"
"1";"Lipnik";"gmina do 20 tyś.";"260603";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"3";"Przysucha";"Grzegorz Piotr";"M";"28";"wyższe";;;"260603";"Lipnik";"Kurów";;"N";"792";"30,73"
"1";"Skalbmierz";"gmina do 20 tyś.";"260305";"Mayor";"KOMITET WYBORCZY WYBORCÓW TWÓJ SAMORZĄD ZIEMI KAZIMIERSKIEJ";"DKC2-7503-6/10";"wyborczy";"1";"Juszczyk";"Marek Jacek";"M";"46";"wyższe";;;"260305";"Skalbmierz";"Skalbmierz";;"N";"515";"19,33"
"1";"Raków";"gmina do 20 tyś.";"260416";"Reeve";"KOMITET WYBORCZY WYBORCÓW ODBUDUJMY WSPÓLNOTĘ GMINY RAKÓW";"DKC1-7503-47/10";"wyborczy w gminie do 20 tys.";"4";"Witkowska";"Grażyna Maria";"K";"56";"wyższe";"członek Sojuszu Lewicy Demokratycznej";;"260416";"Raków";"Raków";;"N";"1013";"33,47"
"1";"Łopuszno";"gmina do 20 tyś.";"260408";"Reeve";"KOMITET WYBORCZY WYBORCÓW ""SAMORZĄD DLA LUDZI""";"DKC1-7503-278/10";"wyborczy w gminie do 20 tys.";"4";"Ptak";"Jan Witold";"M";"62";"średnie techniczne";;;"260408";"Łopuszno";"Łopuszno";;"N";"518";"10,87"
"1";"Strawczyn";"gmina do 20 tyś.";"260418";"Reeve";"KOMITET WYBORCZY WYBORCÓW ROZWOJOWA GMINA STRAWCZYN";"DKC1-7503-311/10";"wyborczy w gminie do 20 tys.";"2";"Tkaczyk";"Tadeusz Kazimierz";"M";"63";"wyższe";;;"260418";"Strawczyn";"Strawczynek";;"T";"2917";"68,30"
"1";"Strawczyn";"gmina do 20 tyś.";"260418";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"1";"Lis";"Grzegorz";"M";"36";"wyższe";;;"260418";"Strawczyn";"Oblęgór";;"N";"1354";"31,70"
"1";"Stopnica";"gmina do 20 tyś.";"260106";"Reeve";"KOMITET WYBORCZY WYBORCÓW ROLNIKÓW W STOPNICY";"DKC2-7503-87/10";"wyborczy w gminie do 20 tys.";"2";"Kotlarz";"Teresa Zofia";"K";"54";"średnie- organizacja pracy społeczno- kulturalnej";;;"260106";"Stopnica";"Klępie Górne";;"N";"54";"1,25"
"1";"Skarżysko-Kamienna";"gmina pow. 20 tyś.";"261001";"President";"KOMITET WYBORCZY WYBORCÓW ""LEPSZE JUTRO""";"DKC1-7503-78/10";"wyborczy";"2";"Ciok";"Bogusław Jerzy";"M";"54";"wyższe";;;"261001";"Skarżysko-Kamienna";"Skarżysko-Kamienna";;"N";"2641";"12,92"
"1";"Stopnica";"gmina do 20 tyś.";"260106";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Borowiec";"Cezary Jakub";"M";"47";"wyższe techniczne";"członek Polskiego Stronnictwa Ludowego";;"260106";"Stopnica";"Stopnica";;"N";"358";"8,31"
"1";"Stopnica";"gmina do 20 tyś.";"260106";"Reeve";"KOMITET WYBORCZY WYBORCÓW JANA ŁUKASIK CZAS NA ZMIANY";"DKC2-7503-113/10";"wyborczy w gminie do 20 tys.";"3";"Łukasik";"Jan Józef";"M";"54";"średnie techniczne";"członek Polskiego Stronnictwa Ludowego";;"260106";"Stopnica";"Stopnica";;"N";"1063";"24,69"
"1";"Radoszyce";"gmina do 20 tyś.";"260504";"Reeve";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-7500-4/10";"partia";"1";"Binkowski";"Paweł";"M";"35";"Wyższe";;;"260504";"Radoszyce";"Końskie";;"2";"2177";"47,54"
"1";"Radoszyce";"gmina do 20 tyś.";"260504";"Reeve";"KOMITET WYBORCZY WYBORCÓW RAZEM DLA PRZYSZŁOŚCI GMINY";"DKC1-7503-150/10";"wyborczy w gminie do 20 tys.";"2";"Kurzyna";"Radomir";"M";"29";"Wyższe";;;"260504";"Radoszyce";"Radoszyce";;"N";"440";"9,61"
"1";"Bogoria";"gmina do 20 tyś.";"261201";"Reeve";"KOMITET WYBORCZY WYBORCÓW GMINA Z PRZYSZŁOŚCIĄ";"DKC2-7503-31/10";"wyborczy w gminie do 20 tys.";"1";"Brudek";"Władysław Marcin";"M";"63";"Wyższe";;;"261201";"Bogoria";"Bogoria";;"T";"2204";"51,44"
"1";"Górno";"gmina do 20 tyś.";"260406";"Reeve";"KOMITET WYBORCZY WYBORCÓW GOSPODARNA GMINA GÓRNO";"DKC1-7503-40/10";"wyborczy w gminie do 20 tys.";"2";"Królicki";"Jarosław";"M";"46";"Wyższe";;;"260406";"Górno";"Bęczków";;"2";"2669";"41,52"
"1";"Górno";"gmina do 20 tyś.";"260406";"Reeve";"KOMITET WYBORCZY WYBORCÓW DUDZIK ANETA";"DKC1-7503-223/10";"wyborczy w gminie do 20 tys.";"1";"Dudzik";"Aneta Elżbieta";"K";"37";"Wyższe";;;"260406";"Górno";"Cedzyna";;"N";"714";"11,11"
"1";"Bogoria";"gmina do 20 tyś.";"261201";"Reeve";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"ZPOW-7500-12/10";"partia";"3";"Żółciak";"Józef";"M";"59";"Wyższe";"członek Prawa i Sprawiedliwości";;"261201";"Bogoria";"Bogoria";;"N";"473";"11,04"
