TERYT;women candidates;candidates;candidate%;women elected;elected;elected%
201;174;505;34%;20;96;21%
202;298;799;37%;48;117;41%
203;146;406;36%;30;98;31%
204;131;339;39%;18;66;27%
205;151;426;35%;28;96;29%
206;226;603;37%;44;135;33%
207;139;404;34%;20;66;30%
208;475;1199;40%;71;222;32%
209;104;345;30%;41;120;34%
210;157;431;36%;37;111;33%
211;169;489;35%;25;68;37%
212;108;298;36%;22;75;29%
213;92;306;30%;10;51;20%
214;207;609;34%;30;126;24%
215;147;478;31%;21;72;29%
216;122;380;32%;32;96;33%
217;102;324;31%;27;81;33%
218;54;241;22%;14;75;19%
219;340;945;36%;39;140;28%
220;158;467;34%;30;96;31%
221;311;754;41%;66;145;46%
222;107;270;40%;19;51;37%
223;189;540;35%;58;141;41%
224;261;645;40%;29;111;26%
225;297;852;35%;35;117;30%
226;101;263;38%;26;90;29%
401;152;460;33%;40;135;30%
402;167;615;27%;33;156;21%
403;221;595;37%;39;126;31%
404;79;266;30%;22;105;21%
405;118;352;34%;17;90;19%
406;117;313;37%;28;90;31%
407;287;861;33%;46;149;31%
408;158;487;32%;32;135;24%
409;90;302;30%;20;66;30%
410;188;517;36%;29;87;33%
411;113;439;26%;14;105;13%
412;103;347;30%;26;90;29%
413;60;201;30%;14;60;23%
414;213;622;34%;47;171;27%
415;120;403;30%;42;135;31%
416;97;273;36%;18;96;19%
417;43;184;23%;15;75;20%
418;157;628;25%;35;195;18%
419;177;537;33%;24;96;25%
601;285;870;33%;68;285;24%
602;217;975;22%;31;216;14%
603;289;795;36%;66;225;29%
604;170;539;32%;16;120;13%
605;40;273;15%;8;105;8%
606;189;577;33%;40;150;27%
607;205;665;31%;28;156;18%
608;268;869;31%;40;201;20%
609;255;871;29%;53;240;22%
610;173;531;33%;23;96;24%
611;212;726;29%;31;171;18%
612;146;423;35%;25;105;24%
613;137;398;34%;29;105;28%
614;313;871;36%;49;173;28%
615;105;349;30%;28;120;23%
616;138;409;34%;18;96;19%
617;87;331;26%;15;81;19%
618;292;915;32%;49;201;24%
619;122;394;31%;22;120;18%
620;207;813;25%;32;231;14%
801;134;371;36%;37;105;35%
802;137;358;38%;33;105;31%
803;191;539;35%;22;96;23%
804;198;534;37%;39;126;31%
805;89;285;31%;19;75;25%
806;94;300;31%;18;75;24%
807;57;204;28%;14;75;19%
808;125;389;32%;23;96;24%
809;201;589;34%;46;156;29%
810;264;729;36%;45;147;31%
811;256;660;39%;59;156;38%
812;93;285;33%;20;51;39%
1001;200;614;33%;28;128;22%
1002;277;762;36%;44;171;26%
1003;118;390;30%;17;81;21%
1004;176;549;32%;28;120;23%
1005;152;491;31%;33;156;21%
1006;150;451;33%;25;96;26%
1007;162;552;29%;22;126;17%
1008;161;487;33%;38;113;34%
1009;151;449;34%;32;120;27%
1010;219;620;35%;46;165;28%
1011;83;272;31%;24;90;27%
1012;348;959;36%;55;216;25%
1013;75;252;30%;23;90;26%
1014;285;833;34%;51;171;30%
1015;131;342;38%;40;135;30%
1016;270;764;35%;54;173;31%
1017;200;650;31%;37;156;24%
1018;119;337;35%;35;105;33%
1019;154;469;33%;23;66;35%
1020;342;940;36%;41;155;26%
1021;114;287;40%;29;75;39%
1201;186;568;33%;27;141;19%
1202;129;380;34%;27;111;24%
1203;257;796;32%;24;93;26%
1204;132;482;27%;20;111;18%
1205;167;529;32%;37;156;24%
1206;362;1112;33%;80;273;29%
1207;176;616;29%;43;186;23%
1208;103;381;27%;23;105;22%
1209;173;526;33%;43;141;30%
1210;231;933;25%;45;258;17%
1211;214;783;27%;42;228;18%
1212;228;719;32%;26;104;25%
1213;286;896;32%;39;153;25%
1214;81;260;31%;25;90;28%
1215;107;341;31%;40;135;30%
1216;186;856;22%;35;246;14%
1217;133;396;34%;11;81;14%
1218;176;594;30%;42;162;26%
1219;117;389;30%;24;89;27%
1401;70;283;25%;14;90;16%
1402;212;676;31%;35;141;25%
1403;232;739;31%;49;210;23%
1404;99;264;38%;22;75;29%
1405;158;405;39%;33;96;34%
1406;209;680;31%;35;156;22%
1407;181;517;35%;33;111;30%
1408;172;504;34%;25;83;30%
1409;74;246;30%;27;90;30%
1410;67;252;27%;21;90;23%
1411;140;458;31%;36;150;24%
1412;281;797;35%;59;201;29%
1413;201;664;30%;29;156;19%
1414;154;454;34%;28;96;29%
1415;143;530;27%;33;165;20%
1416;205;664;31%;35;171;20%
1417;265;601;44%;43;126;34%
1418;431;1115;39%;42;110;38%
1419;270;869;31%;50;225;22%
1420;262;806;33%;40;186;22%
1421;236;636;37%;35;110;32%
1422;104;337;31%;27;105;26%
1423;113;391;29%;27;120;23%
1424;140;440;32%;30;111;27%
1425;319;988;32%;49;201;24%
1426;144;530;27%;44;195;23%
1427;126;403;31%;28;105;27%
1428;223;602;37%;39;126;31%
1429;82;371;22%;26;135;19%
1430;119;339;35%;19;75;25%
1432;219;553;40%;46;117;39%
1433;135;482;28%;36;135;27%
1434;429;1176;36%;69;204;34%
1435;153;426;36%;27;96;28%
1436;84;259;32%;17;75;23%
1437;67;274;24%;15;90;17%
1438;131;380;34%;21;81;26%
1465;1220;3200;38%;152;409;37%
1601;189;586;32%;29;96;30%
1602;89;311;29%;14;66;21%
1603;171;509;34%;33;98;34%
1604;106;367;29%;16;66;24%
1605;113;354;32%;21;81;26%
1606;126;441;29%;19;81;23%
1607;292;925;32%;35;149;23%
1608;98;321;31%;32;105;30%
1609;190;643;30%;50;201;25%
1610;106;316;34%;17;66;26%
1611;128;402;32%;32;111;29%
1801;25;119;21%;8;45;18%
1802;76;344;22%;9;96;9%
1803;157;612;26%;21;117;18%
1804;220;826;27%;38;171;22%
1805;165;625;26%;39;156;25%
1806;99;426;23%;15;96;16%
1807;117;466;25%;26;150;17%
1808;118;467;25%;11;87;13%
1809;84;424;20%;17;120;14%
1810;113;383;30%;28;111;25%
1811;202;732;28%;31;158;20%
1812;118;420;28%;24;111;22%
1813;88;418;21%;19;150;13%
1814;103;458;22%;19;135;14%
1815;164;575;29%;15;87;17%
1816;181;654;28%;49;210;23%
1817;171;635;27%;20;126;16%
1818;121;480;25%;21;98;21%
1819;80;286;28%;16;81;20%
1820;54;202;27%;12;60;20%
1821;42;202;21%;12;75;16%
2001;120;420;29%;27;111;24%
2002;281;891;32%;68;231;29%
2003;125;450;28%;31;126;25%
2004;140;506;28%;22;96;23%
2005;201;548;37%;41;141;29%
2006;56;273;21%;16;90;18%
2007;150;532;28%;26;135;19%
2008;82;344;24%;20;105;19%
2009;48;182;26%;12;75;16%
2010;138;474;29%;29;135;21%
2011;161;596;27%;27;156;17%
2012;88;344;26%;21;135;16%
2013;73;399;18%;19;150;13%
2014;103;354;29%;15;81;19%
2201;231;776;30%;40;162;25%
2202;114;467;24%;14;87;16%
2203;95;334;28%;30;105;29%
2204;189;460;41%;46;126;37%
2205;153;548;28%;18;132;14%
2206;131;473;28%;26;126;21%
2207;112;411;27%;16;96;17%
2208;149;455;33%;22;81;27%
2209;148;414;36%;33;96;34%
2210;150;355;42%;24;75;32%
2211;134;400;34%;35;111;32%
2212;179;511;35%;58;150;39%
2213;213;647;33%;58;201;29%
2214;139;445;31%;33;98;34%
2215;223;705;32%;36;162;22%
2216;83;212;39%;20;75;27%
2401;340;827;41%;53;134;40%
2402;143;581;25%;29;162;18%
2403;216;781;28%;58;192;30%
2404;353;930;38%;81;240;34%
2405;163;529;31%;27;126;21%
2406;220;690;32%;26;141;18%
2407;178;474;38%;42;126;33%
2408;128;434;29%;27;87;31%
2409;228;595;38%;21;81;26%
2410;124;410;30%;27;98;28%
2411;161;529;30%;32;128;25%
2412;130;413;31%;20;81;25%
2413;178;726;25%;35;143;24%
2414;86;274;31%;19;75;25%
2415;284;906;31%;32;153;21%
2416;260;781;33%;38;158;24%
2417;274;965;28%;58;231;25%
2601;162;547;30%;21;126;17%
2602;170;597;28%;30;141;21%
2603;49;225;22%;12;75;16%
2604;328;1046;31%;76;285;27%
2605;209;619;34%;33;126;26%
2606;154;472;33%;32;120;27%
2607;217;607;36%;28;98;29%
2608;116;392;30%;13;81;16%
2609;266;747;36%;31;141;22%
2610;145;457;32%;17;81;21%
2611;171;524;33%;20;83;24%
2612;152;636;24%;24;126;19%
2613;130;452;29%;17;96;18%
2801;208;545;38%;31;96;32%
2802;146;375;39%;33;105;31%
2803;183;533;34%;27;96;28%
2804;160;425;38%;46;135;34%
2805;193;529;36%;23;83;28%
2806;170;486;35%;33;96;34%
2807;121;420;29%;22;111;20%
2808;191;499;38%;31;96;32%
2809;83;266;31%;21;75;28%
2810;98;347;28%;17;81;21%
2811;123;314;39%;29;66;44%
2812;91;290;31%;21;75;28%
2813;93;273;34%;17;66;26%
2814;206;526;39%;69;180;38%
2815;222;640;35%;49;147;33%
2816;142;453;31%;14;66;21%
2817;247;694;36%;38;126;30%
2818;108;313;35%;10;51;20%
2819;48;143;34%;10;45;22%
3001;55;177;31%;21;75;28%
3002;145;544;27%;27;126;21%
3003;155;567;27%;31;158;20%
3004;106;439;24%;25;111;23%
3005;54;204;26%;15;75;20%
3006;98;389;25%;15;66;23%
3007;122;467;26%;31;165;19%
