TERYT;women candidates;candidates;candidate%;women elected;elected;elected%
2;4766;13318;36%;840;2662;32%
4;2660;8402;32%;541;2162;25%
6;3850;12594;31%;671;3197;21%
8;1839;5243;35%;375;1263;30%
10;3887;11470;34%;725;2708;27%
12;3444;11557;30%;653;2863;23%
14;7870;23311;34%;1396;5218;27%
16;1608;5175;31%;298;1120;27%
18;2498;9754;26%;450;2440;18%
20;1766;6313;28%;374;1767;21%
22;2443;7613;32%;509;1883;27%
24;3466;10845;32%;625;2356;27%
26;2269;7321;31%;354;1579;22%
28;2833;8071;35%;541;1796;30%
30;4226;14281;30%;815;3498;23%
32;2873;7917;36%;546;1745;31%
