TERYT;women candidates;candidates;candidate%;women elected;elected;elected%
201;84;247;34%;1;21;5%
202;68;226;30%;5;23;22%
203;44;154;29%;4;21;19%
204;29;129;22%;1;15;7%
205;58;183;32%;2;17;12%
206;60;196;31%;5;19;26%
207;72;216;33%;5;17;29%
208;96;281;34%;4;29;14%
209;39;119;33%;5;17;29%
210;50;137;36%;3;17;18%
211;71;251;28%;5;23;22%
212;37;151;25%;3;17;18%
213;44;153;29%;5;15;33%
214;51;149;34%;8;23;35%
215;63;199;32%;7;19;37%
216;37;124;30%;3;19;16%
217;34;118;29%;3;17;18%
218;50;200;25%;2;17;12%
219;114;309;37%;4;29;14%
220;43;160;27%;2;19;11%
221;83;256;32%;5;29;17%
222;41;119;34%;4;17;24%
223;64;201;32%;8;23;35%
224;86;270;32%;2;19;11%
225;77;238;32%;3;21;14%
226;89;210;42%;5;17;29%
261;101;289;35%;6;23;26%
262;90;272;33%;8;25;32%
264;175;561;31%;14;37;38%
401;29;143;20%;4;17;24%
402;39;171;23%;2;19;11%
403;75;213;35%;7;23;30%
404;51;174;29%;2;17;12%
405;63;184;34%;4;17;24%
406;57;193;30%;5;17;29%
407;81;286;28%;6;29;21%
408;51;174;29%;0;19;0%
409;30;133;23%;2;17;12%
410;49;195;25%;4;21;19%
411;47;221;21%;0;17;0%
412;81;279;29%;2;17;12%
413;53;150;35%;4;17;24%
414;56;186;30%;4;21;19%
415;64;195;33%;5;21;24%
416;63;204;31%;3;17;18%
417;52;170;31%;1;15;7%
418;79;255;31%;4;21;19%
419;75;224;33%;8;19;42%
461;151;434;35%;9;31;29%
462;122;367;33%;5;23;22%
463;74;240;31%;4;25;16%
464;127;355;36%;6;25;24%
601;41;176;23%;4;23;17%
602;46;259;18%;1;23;4%
603;56;184;30%;4;21;19%
604;41;205;20%;2;19;11%
605;29;179;16%;1;17;6%
606;54;227;24%;5;19;26%
607;54;197;27%;3;23;13%
608;55;207;27%;4;21;19%
609;62;263;24%;5;27;19%
610;66;206;32%;3;17;18%
611;76;296;26%;0;23;0%
612;55;199;28%;1;19;5%
613;61;173;35%;3;15;20%
614;76;227;33%;4;23;17%
615;74;247;30%;1;19;5%
616;48;165;29%;4;19;21%
617;44;152;29%;4;19;21%
618;59;262;23%;5;21;24%
619;40;157;25%;2;17;12%
620;64;268;24%;6;23;26%
661;81;288;28%;4;23;17%
662;105;267;39%;7;23;30%
663;185;490;38%;6;31;19%
664;73;253;29%;8;23;35%
801;51;167;31%;2;19;11%
802;55;182;30%;1;17;6%
803;38;122;31%;3;17;18%
