TERYT;women candidates;candidates;candidate%;women elected;elected;elected%
2;1950;6118;32%;132;605;22%
4;1569;5146;30%;91;465;20%
6;1545;5547;28%;87;508;17%
8;761;2721;28%;48;268;18%
10;1802;5531;33%;114;510;22%
12;1517;5216;29%;90;538;17%
14;2936;9579;31%;183;900;20%
16;726;2531;29%;54;246;22%
18;1269;5154;25%;71;521;14%
20;776;2806;28%;55;324;17%
22;1171;3905;30%;89;434;21%
24;2798;9005;31%;178;867;21%
26;863;3076;28%;45;286;16%
28;1356;4383;31%;88;393;22%
30;2012;7147;28%;120;721;17%
32;1257;4146;30%;81;405;20%
