unit;TERYT;official;potential
bolesławiecki;20100;6 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY STOWARZYSZENIA ZIEMIA BOLESŁAWIECKA|4 KOMITET WYBORCZY WYBORCÓW PIOTRA ROMANA|3 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|2 KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE|2 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;8 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|6 KOMITET WYBORCZY STOWARZYSZENIA ZIEMIA BOLESŁAWIECKA|4 KOMITET WYBORCZY WYBORCÓW PIOTRA ROMANA|1 KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE|1 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|1 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ
dzierżoniowski;20200;8 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|3 KOMITET WYBORCZY OBYWATELSKI BLOK SAMORZĄDOWY|3 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|3 KOMITET WYBORCZY WYBORCÓW FORUM 2010|2 KOMITET WYBORCZY WYBORCÓW SAMORZĄDOWCY RAFAŁA DUTKIEWICZA;6 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|6 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|4 KOMITET WYBORCZY OBYWATELSKI BLOK SAMORZĄDOWY|3 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|3 KOMITET WYBORCZY WYBORCÓW FORUM 2010|1 KOMITET WYBORCZY WYBORCÓW SAMORZĄDOWCY RAFAŁA DUTKIEWICZA
głogowski;20300;"8 KOMITET WYBORCZY WYBORCÓW JANA ZUBOWSKIEGO|6 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|6 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|1 KOMITET WYBORCZY WYBORCÓW ""AKTYWNI RAZEM""";9 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|7 KOMITET WYBORCZY WYBORCÓW JANA ZUBOWSKIEGO|5 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ
górowski;20400;5 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|3 KOMITET WYBORCZY WYBORCÓW FORUM 2010 WĄSOSZ|2 KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE 2010|2 KOMITET WYBORCZY WYBORCÓW PRZYSZŁOŚĆ-SOLIDNOŚĆ-LUDZIE|2 KOMITET WYBORCZY WYBORCÓW REGIONALNE CENTRUM NIEZALEŻNE|1 KOMITET WYBORCZY WYBORCÓW BEZPARTYJNY BLOK  WROTKOWSKIEGO;8 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|2 KOMITET WYBORCZY WYBORCÓW FORUM 2010 WĄSOSZ|2 KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE 2010|2 KOMITET WYBORCZY WYBORCÓW REGIONALNE CENTRUM NIEZALEŻNE|1 KOMITET WYBORCZY WYBORCÓW BEZPARTYJNY BLOK  WROTKOWSKIEGO
jaworski;20500;"6 KOMITET WYBORCZY WYBORCÓW ""POROZUMIENIE PRAWICY""|3 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|3 KOMITET WYBORCZY WYBORCÓW INICJATYWA SPOŁECZNA OPOKA|2 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|2 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|1 KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"6 KOMITET WYBORCZY WYBORCÓW ""POROZUMIENIE PRAWICY""|4 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|2 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|2 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|2 KOMITET WYBORCZY WYBORCÓW INICJATYWA SPOŁECZNA OPOKA|1 KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE"
jeleniogórski;20600;"7 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|5 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|3 KOMITET WYBORCZY WYBORCÓW ""RAZEM DLA REGIONU""";"7 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|5 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|3 KOMITET WYBORCZY WYBORCÓW ""RAZEM DLA REGIONU"""
kamiennogórski;20700;"5 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY STOWARZYSZENIA REGIONALNEGO ""DIALOG""|4 KOMITET WYBORCZY WYBORCÓW RAZEM KG|2 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|2 KOMITET WYBORCZY WYBORCÓW ""NASZ REGION""";"5 KOMITET WYBORCZY WYBORCÓW RAZEM KG|4 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY STOWARZYSZENIA REGIONALNEGO ""DIALOG""|3 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|1 KOMITET WYBORCZY WYBORCÓW ""NASZ REGION"""
kłodzki;20800;13 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|6 KOMITET WYBORCZY WYBORCÓW ROZWÓJ I PARTNERSTWO|4 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|4 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|2 KOMITET WYBORCZY WYBORCÓW DOLNY ŚLĄSK XXI;15 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|4 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ|4 KOMITET WYBORCZY WYBORCÓW ROZWÓJ I PARTNERSTWO|3 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|3 KOMITET WYBORCZY WYBORCÓW DOLNY ŚLĄSK XXI
legnicki;20900;6 KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE|6 KOMITET WYBORCZY WYBORCÓW PRZYMIERZE DLA SAMORZĄDU LOKALNEGO|4 KOMITET WYBORCZY WYBORCÓW SAMORZĄDNOŚĆ I DEMOKRACJA|1 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;9 KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE|5 KOMITET WYBORCZY WYBORCÓW PRZYMIERZE DLA SAMORZĄDU LOKALNEGO|3 KOMITET WYBORCZY WYBORCÓW SAMORZĄDNOŚĆ I DEMOKRACJA
lubański;21000;6 KOMITET WYBORCZY WYBORCÓW OBYWATELSKI KOMITET WYBORCÓW POWIAT 2010|4 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|3 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|2 KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE|2 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;6 KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ|6 KOMITET WYBORCZY WYBORCÓW OBYWATELSKI KOMITET WYBORCÓW POWIAT 2010|4 KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP|1 KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
