unit;TERYT;constituency;candidates;winners;losers;biggest winner votes;biggest loser votes;losers with more votes than winner
bolesławiecki;20100;1;112;10;102;308;413;5
bolesławiecki;20100;2;58;5;53;275;232;0
bolesławiecki;20100;3;77;6;71;224;375;6
dzierżoniowski;20200;1;61;7;54;181;416;7
dzierżoniowski;20200;2;94;8;86;276;292;1
dzierżoniowski;20200;3;44;4;40;432;616;1
dzierżoniowski;20200;4;27;4;23;420;478;1
głogowski;20300;1;23;3;20;436;419;0
głogowski;20300;2;36;5;31;172;356;5
głogowski;20300;3;31;4;27;447;298;0
głogowski;20300;4;29;4;25;253;348;1
głogowski;20300;5;35;5;30;498;591;1
górowski;20400;1;70;9;61;187;237;3
górowski;20400;2;30;3;27;201;326;1
górowski;20400;3;29;3;26;189;328;3
jaworski;20500;1;90;8;82;196;265;2
jaworski;20500;2;42;4;38;254;229;0
jaworski;20500;3;51;5;46;389;307;0
jeleniogórski;20600;1;40;4;36;329;316;0
jeleniogórski;20600;2;34;3;31;267;316;1
jeleniogórski;20600;3;41;4;37;360;258;0
jeleniogórski;20600;4;43;4;39;201;343;3
jeleniogórski;20600;5;38;4;34;286;235;0
kamiennogórski;20700;1;98;8;90;177;304;3
kamiennogórski;20700;2;64;5;59;214;285;1
kamiennogórski;20700;3;54;4;50;279;243;0
kłodzki;20800;1;50;5;45;465;370;0
kłodzki;20800;2;50;5;45;377;605;3
kłodzki;20800;3;39;4;35;387;462;2
kłodzki;20800;4;39;4;35;306;445;6
kłodzki;20800;5;35;4;31;339;534;2
kłodzki;20800;6;39;4;35;572;557;0
kłodzki;20800;7;29;3;26;400;422;1
legnicki;20900;1;33;5;28;168;284;2
legnicki;20900;2;22;3;19;305;311;1
legnicki;20900;3;21;3;18;258;351;2
legnicki;20900;4;22;3;19;356;338;0
legnicki;20900;5;21;3;18;335;314;0
lubański;21000;1;40;5;35;205;356;5
lubański;21000;2;37;5;32;264;395;4
lubański;21000;3;60;7;53;334;317;0
lubiński;21100;1;42;4;38;210;358;3
lubiński;21100;2;44;4;40;459;403;0
lubiński;21100;3;45;4;41;365;509;2
lubiński;21100;4;42;4;38;480;545;1
lubiński;21100;5;78;7;71;384;490;2
lwówecki;21200;1;28;4;24;376;211;0
lwówecki;21200;2;63;6;57;138;234;5
lwówecki;21200;3;19;3;16;252;264;2
lwówecki;21200;4;41;4;37;194;214;1
milicki;21300;1;100;10;90;197;222;3
milicki;21300;2;53;5;48;186;235;3
oleśnicki;21400;1;54;8;46;383;426;1
oleśnicki;21400;2;31;5;26;484;605;1
oleśnicki;21400;3;25;4;21;465;423;0
oleśnicki;21400;4;39;6;33;434;421;0
oławski;21500;1;84;8;76;175;343;4
oławski;21500;2;61;6;55;209;419;2
oławski;21500;3;54;5;49;303;410;1
polkowicki;21600;1;48;8;40;336;419;3
polkowicki;21600;2;32;4;28;254;302;3
polkowicki;21600;3;23;3;20;210;486;1
polkowicki;21600;4;21;4;17;560;562;1
strzeliński;21700;1;62;8;54;274;285;1
strzeliński;21700;2;25;4;21;252;272;2
strzeliński;21700;3;31;5;26;252;323;1
średzki;21800;1;84;7;77;210;297;3
średzki;21800;2;75;6;69;228;308;3
średzki;21800;3;41;4;37;178;297;3
świdnicki;21900;1;68;6;62;412;456;1
świdnicki;21900;2;55;5;50;400;357;0
świdnicki;21900;3;54;5;49;256;706;6
świdnicki;21900;4;50;5;45;321;836;5
świdnicki;21900;5;29;3;26;415;362;0
świdnicki;21900;6;53;5;48;439;584;2
trzebnicki;22000;1;38;5;33;379;409;1
trzebnicki;22000;2;31;4;27;444;280;0
trzebnicki;22000;3;41;4;37;270;380;2
trzebnicki;22000;4;50;6;44;324;491;2
wałbrzyski;22100;1;37;4;33;505;480;0
wałbrzyski;22100;2;36;4;32;420;1141;1
wałbrzyski;22100;3;35;4;31;370;601;2
wałbrzyski;22100;4;36;4;32;503;632;1
wałbrzyski;22100;5;32;4;28;506;465;0
wałbrzyski;22100;6;42;5;37;674;672;0
wałbrzyski;22100;7;38;4;34;568;558;0
wołowski;22200;1;68;8;60;165;278;4
wołowski;22200;2;36;6;30;188;280;7
wołowski;22200;3;15;3;12;364;479;1
wrocławski;22300;1;59;7;52;490;584;2
wrocławski;22300;2;25;3;22;317;532;3
wrocławski;22300;3;44;5;39;368;320;0
wrocławski;22300;4;27;3;24;639;583;0
wrocławski;22300;5;46;5;41;327;401;1
ząbkowicki;22400;1;43;3;40;331;208;0
ząbkowicki;22400;2;79;6;73;282;237;0
ząbkowicki;22400;3;56;4;52;233;225;0
ząbkowicki;22400;4;92;6;86;281;325;1
zgorzelecki;22500;1;78;7;71;450;444;0
zgorzelecki;22500;2;67;6;61;478;341;0
zgorzelecki;22500;3;47;4;43;343;351;1
zgorzelecki;22500;4;46;4;42;417;410;0
złotoryjski;22600;1;77;6;71;145;134;0
złotoryjski;22600;2;35;3;32;131;216;2
złotoryjski;22600;3;50;4;46;207;190;0
złotoryjski;22600;4;48;4;44;236;207;0
Jelenia Góra;26101;1;82;6;76;293;377;1
Jelenia Góra;26101;2;74;6;68;279;209;0
Jelenia Góra;26101;3;58;5;53;217;312;3
Jelenia Góra;26101;4;75;6;69;232;361;4
Legnica;26201;1;54;5;49;225;312;4
Legnica;26201;2;58;5;53;283;379;1
Legnica;26201;3;55;5;50;275;239;0
Legnica;26201;4;50;5;45;387;375;0
Legnica;26201;5;55;5;50;377;560;2
Wrocław;26401;1;92;6;86;1126;1021;0
Wrocław;26401;2;75;5;70;1671;1619;0
Wrocław;26401;3;90;6;84;1350;1218;0
Wrocław;26401;4;78;5;73;1020;1259;2
Wrocław;26401;5;79;5;74;1472;1475;1
Wrocław;26401;6;69;5;64;1488;1455;0
Wrocław;26401;7;78;5;73;1680;1466;0
aleksandrowski;40100;1;41;4;37;201;252;3
aleksandrowski;40100;2;27;3;24;238;591;1
aleksandrowski;40100;3;22;3;19;308;302;0
aleksandrowski;40100;4;25;3;22;348;243;0
aleksandrowski;40100;5;28;4;24;247;268;2
brodnicki;40200;1;60;7;53;249;429;3
brodnicki;40200;2;36;4;32;295;319;1
brodnicki;40200;3;45;5;40;358;375;1
brodnicki;40200;4;30;3;27;194;331;4
bydgoski;40300;1;51;5;46;268;319;2
bydgoski;40300;2;36;4;32;247;255;1
bydgoski;40300;3;57;6;51;256;310;4
bydgoski;40300;4;37;4;33;377;418;1
bydgoski;40300;5;32;4;28;387;457;2
chełmiński;40400;1;68;7;61;167;211;2
chełmiński;40400;2;32;3;29;194;274;1
chełmiński;40400;3;43;4;39;181;165;0
chełmiński;40400;4;31;3;28;425;315;0
golubsko-dobrzyński;40500;1;57;5;52;159;185;1
golubsko-dobrzyński;40500;2;35;3;32;351;346;0
golubsko-dobrzyński;40500;3;64;6;58;237;301;2
golubsko-dobrzyński;40500;4;28;3;25;163;310;2
grudziądzki;40600;1;54;5;49;96;167;1
grudziądzki;40600;2;40;3;37;283;215;0
grudziądzki;40600;3;44;4;40;194;246;1
grudziądzki;40600;4;55;5;50;164;169;1
inowrocławski;40700;1;40;5;35;242;528;2
inowrocławski;40700;2;38;4;34;431;585;1
inowrocławski;40700;3;57;5;52;347;502;2
inowrocławski;40700;4;30;3;27;753;634;0
inowrocławski;40700;5;36;4;32;333;889;3
inowrocławski;40700;6;43;4;39;309;429;3
inowrocławski;40700;7;42;4;38;345;323;0
lipnowski;40800;1;32;4;28;326;373;1
lipnowski;40800;2;37;4;33;353;327;0
lipnowski;40800;3;38;4;34;255;266;1
lipnowski;40800;4;39;4;35;249;241;0
lipnowski;40800;5;28;3;25;114;257;5
mogileński;40900;1;73;9;64;179;383;3
mogileński;40900;2;25;4;21;270;254;0
mogileński;40900;3;35;4;31;234;291;3
nakielski;41000;1;75;8;67;281;359;3
nakielski;41000;2;24;3;21;298;364;3
nakielski;41000;3;30;4;26;248;480;1
nakielski;41000;4;66;6;60;253;307;1
radziejowski;41100;1;51;4;47;206;217;1
radziejowski;41100;2;35;3;32;221;284;3
radziejowski;41100;3;80;6;74;221;297;1
radziejowski;41100;4;55;4;51;137;214;6
rypiński;41200;1;106;6;100;111;244;7
rypiński;41200;2;47;3;44;170;213;2
rypiński;41200;3;62;4;58;181;181;0
rypiński;41200;4;64;4;60;216;220;1
sępoleński;41300;1;58;7;51;109;166;4
sępoleński;41300;2;52;5;47;84;190;8
sępoleński;41300;3;40;5;35;137;157;1
świecki;41400;1;55;7;48;185;526;8
świecki;41400;2;48;5;43;252;568;4
świecki;41400;3;44;5;39;257;283;2
świecki;41400;4;39;4;35;439;374;0
toruński;41500;1;30;3;27;350;317;0
toruński;41500;2;37;4;33;513;390;0
toruński;41500;3;47;5;42;433;620;1
toruński;41500;4;47;5;42;353;387;1
toruński;41500;5;34;4;30;552;492;0
tucholski;41600;1;90;7;83;141;304;6
tucholski;41600;2;46;4;42;144;144;0
tucholski;41600;3;68;6;62;209;252;2
wąbrzeski;41700;1;72;6;66;117;158;4
wąbrzeski;41700;2;31;3;28;226;237;1
wąbrzeski;41700;3;67;6;61;170;152;0
włocławski;41800;1;44;4;40;374;298;0
włocławski;41800;2;51;4;47;329;410;1
włocławski;41800;3;40;3;37;261;337;2
włocławski;41800;4;36;3;33;313;262;0
włocławski;41800;5;36;3;33;450;650;1
włocławski;41800;6;48;4;44;356;341;0
żniński;41900;1;89;7;82;294;299;1
żniński;41900;2;67;6;61;290;349;2
żniński;41900;3;68;6;62;336;312;0
Bydgoszcz;46101;1;65;5;60;1175;1078;0
Bydgoszcz;46101;2;66;5;61;1201;905;0
Bydgoszcz;46101;3;94;6;88;675;1276;2
Bydgoszcz;46101;4;69;5;64;1143;1264;1
Bydgoszcz;46101;5;64;5;59;486;729;2
Bydgoszcz;46101;6;76;5;71;1271;876;0
Grudziądz;46201;1;82;5;77;220;239;1
Grudziądz;46201;2;79;5;74;231;313;1
Grudziądz;46201;3;77;5;72;263;468;3
Grudziądz;46201;4;129;8;121;336;394;1
Toruń;46301;1;57;6;51;472;483;1
Toruń;46301;2;54;5;49;802;528;0
Toruń;46301;3;56;6;50;782;591;0
Toruń;46301;4;73;8;65;364;522;2
Włocławek;46401;1;70;5;65;468;250;0
Włocławek;46401;2;74;5;69;376;403;1
Włocławek;46401;3;74;5;69;235;306;1
Włocławek;46401;4;68;5;63;518;468;0
Włocławek;46401;5;69;5;64;242;373;2
bialski;60100;1;22;3;19;399;555;1
bialski;60100;2;31;4;27;491;606;1
bialski;60100;3;30;4;26;448;533;1
bialski;60100;4;23;3;20;445;490;1
bialski;60100;5;23;3;20;657;362;0
bialski;60100;6;24;3;21;707;394;0
bialski;60100;7;23;3;20;582;504;0
biłgorajski;60200;1;69;6;63;303;628;4
biłgorajski;60200;2;34;3;31;533;513;0
biłgorajski;60200;3;30;3;27;382;355;0
biłgorajski;60200;4;44;4;40;390;375;0
biłgorajski;60200;5;48;4;44;399;433;2
biłgorajski;60200;6;34;3;31;380;809;3
chełmski;60300;1;56;6;50;223;314;6
chełmski;60300;2;20;3;17;293;348;2
chełmski;60300;3;28;3;25;385;385;0
