unit;TERYT;constituency;candidates;winners;losers;biggest winner votes;biggest loser votes;losers with more votes than winner
dolnośląskie;20000;1;144;8;136;4406;4894;1
dolnośląskie;20000;2;104;7;97;2412;5649;11
dolnośląskie;20000;3;126;9;117;3195;7727;5
dolnośląskie;20000;4;86;6;80;5605;5665;1
dolnośląskie;20000;5;89;6;83;8398;7010;0
kujawsko-pomorskie;40000;1;122;6;116;2333;3943;3
kujawsko-pomorskie;40000;2;113;6;107;3764;3969;1
kujawsko-pomorskie;40000;3;96;5;91;5918;5897;0
kujawsko-pomorskie;40000;4;101;5;96;1768;8273;4
kujawsko-pomorskie;40000;5;85;5;80;4748;3961;0
kujawsko-pomorskie;40000;6;99;6;93;2212;4264;4
lubelskie;60000;1;110;5;105;3556;5570;2
lubelskie;60000;2;161;9;152;5611;7269;3
lubelskie;60000;3;120;6;114;5056;12547;1
lubelskie;60000;4;111;6;105;5522;5413;0
lubelskie;60000;5;132;7;125;4151;4398;1
lubuskie;80000;1;95;7;88;1746;2579;2
lubuskie;80000;2;76;6;70;3004;2030;0
lubuskie;80000;3;68;5;63;3010;1489;0
lubuskie;80000;4;79;6;73;2384;2607;1
lubuskie;80000;5;83;6;77;2590;2999;1
łódzkie;100000;1;82;5;77;5102;3861;0
łódzkie;100000;2;88;5;83;5930;5652;0
łódzkie;100000;3;99;6;93;4189;5755;2
łódzkie;100000;4;116;8;108;5381;5747;1
łódzkie;100000;5;112;7;105;4453;5035;2
łódzkie;100000;6;88;5;83;5725;7740;1
małopolskie;120000;1;88;5;83;6673;6482;0
małopolskie;120000;2;100;6;94;4314;7203;3
małopolskie;120000;3;134;8;126;11539;7928;0
małopolskie;120000;4;126;7;119;5207;6336;1
małopolskie;120000;5;111;7;104;3679;6738;3
małopolskie;120000;6;110;6;104;8009;9020;1
mazowieckie;140000;1;99;5;94;7363;6929;0
mazowieckie;140000;2;114;6;108;10223;11412;1
mazowieckie;140000;3;94;5;89;9441;7912;0
mazowieckie;140000;4;161;9;152;6540;5704;0
mazowieckie;140000;5;168;7;161;8033;9314;2
mazowieckie;140000;6;157;9;148;7860;10076;3
mazowieckie;140000;7;182;10;172;3307;7314;11
opolskie;160000;1;77;7;70;2017;1927;0
opolskie;160000;2;70;6;64;1828;2085;2
opolskie;160000;3;55;5;50;1063;2174;5
opolskie;160000;4;61;5;56;2083;2949;2
opolskie;160000;5;74;7;67;1401;2504;4
podkarpackie;180000;1;96;7;89;5491;7220;3
podkarpackie;180000;2;84;6;78;6458;6208;0
podkarpackie;180000;3;91;6;85;3825;8624;4
podkarpackie;180000;4;80;6;74;5293;6409;2
podkarpackie;180000;5;108;8;100;4002;4860;2
podlaskie;200000;1;87;7;80;3037;2883;0
podlaskie;200000;2;66;5;61;4094;2619;0
podlaskie;200000;3;67;5;62;3965;3576;0
podlaskie;200000;4;57;5;52;5143;5805;1
podlaskie;200000;5;82;8;74;2710;3330;3
pomorskie;220000;1;102;7;95;5911;4512;0
pomorskie;220000;2;134;8;126;6554;6550;0
pomorskie;220000;3;116;7;109;5419;7981;2
pomorskie;220000;4;95;6;89;6179;5001;0
pomorskie;220000;5;79;5;74;4595;4140;0
śląskie;240000;1;141;7;134;7412;5866;0
śląskie;240000;2;156;7;149;5590;7407;2
śląskie;240000;3;137;8;129;5440;5979;3
śląskie;240000;4;154;7;147;3701;7463;5
śląskie;240000;5;140;6;134;5123;7597;2
śląskie;240000;6;147;6;141;7612;4774;0
śląskie;240000;7;172;7;165;6734;6119;0
świętokrzyskie;260000;1;119;8;111;3068;4139;3
świętokrzyskie;260000;2;94;6;88;2215;4114;7
świętokrzyskie;260000;3;149;9;140;2463;4164;3
świętokrzyskie;260000;4;111;7;104;2883;4669;2
warmińsko-mazurskie;280000;1;73;6;67;3057;3108;3
warmińsko-mazurskie;280000;2;77;6;71;4517;4070;0
warmińsko-mazurskie;280000;3;77;7;70;2602;2660;1
warmińsko-mazurskie;280000;4;64;6;58;4530;3948;0
warmińsko-mazurskie;280000;5;66;5;61;2561;3829;2
wielkopolskie;300000;1;90;6;84;5553;5104;0
wielkopolskie;300000;2;98;7;91;5082;12223;1
wielkopolskie;300000;3;92;7;85;6576;4699;0
wielkopolskie;300000;4;85;5;80;3478;5104;4
wielkopolskie;300000;5;86;7;79;3667;7851;4
wielkopolskie;300000;6;89;7;82;6178;5801;0
zachodniopomorskie;320000;1;107;8;99;3425;5773;1
zachodniopomorskie;320000;2;55;5;50;6422;5487;0
zachodniopomorskie;320000;3;71;6;65;3172;4538;3
zachodniopomorskie;320000;4;60;5;55;5917;5269;0
zachodniopomorskie;320000;5;84;6;78;2795;5590;5
